Accident_ID,Type,Date,the speed,A. Minor injuries,A. Serious injuries,p. death injuries,A. Medium injuries,lanes of the road,road surface,Vehicle Nationality,category of licenses,road type,the lighting,the weather,Road properties,driver error,Conservative,Vehicle class,accident date,number of vehicles,age of the driver,Driver's gender
1527180,shocked,10/1/2017 20:57,60,0,0,0,0,Two-way separated by a central island,dry,Jordan,third class automatic,asphalt,Night and road with enough light,Clear,flat straight,There is no,Capital Governorate Amman,mini ride on car,10/1/2017 20:57,2,19.0,Male
1527220,shocked,1/13/2017 3:35:00 PM,40,0,0,0,0,Two directions not separated by a central island,dry,Jordan,0,asphalt,Night and road with enough light,Clear,flat straight,There is no,Capital Governorate Amman,mini ride on car,1/13/2017 3:35:00 PM,3,117.0,in
1527220,shocked,1/13/2017 3:35:00 PM,40,0,0,0,0,Two directions not separated by a central island,dry,Jordan,third class,asphalt,Night and road with enough light,Clear,flat straight,There is no,Capital Governorate Amman,mini ride on car,1/13/2017 3:35:00 PM,3,44.0,Male
1527220,shocked,1/13/2017 3:35:00 PM,40,0,0,0,0,Two directions not separated by a central island,dry,Jordan,third class,asphalt,Night and road with enough light,Clear,flat straight,The driver should not leave the safe relay distance,Capital Governorate Amman,mini ride on car,1/13/2017 3:35:00 PM,3,25.0,Male
1527395,shocked,11/1/2017 20:56,40,0,0,0,0,Two directions not separated by a central island,dry,Jordan,third class,asphalt,day,Clear,flat straight,There is no,Capital Governorate Amman,mini ride on car,11/1/2017 20:56,2,25.0,Male
1527395,shocked,11/1/2017 20:56,40,0,0,0,0,Two directions not separated by a central island,dry,Jordan,third class automatic,asphalt,day,Clear,flat straight,The driver of the leaking vehicle suddenly changed,Capital Governorate Amman,mini ride on car,11/1/2017 20:56,2,20.0,Male
1528575,shocked,1/14/2017 4:38:00 PM,40,0,0,0,0,One-way,dry,Jordan,third class,asphalt,Night and road with enough light,Clear,flat straight,Driving a vehicle without taking the necessary traffic safety precautions,Capital Governorate Amman,joint transfer,1/14/2017 4:38:00 PM,2,30.0,Male
1528575,shocked,1/14/2017 4:38:00 PM,40,0,0,0,0,One-way,dry,Jordan,Fifth class,asphalt,Night and road with enough light,Clear,flat straight,There is no,Capital Governorate Amman,mini ride on car,1/14/2017 4:38:00 PM,2,52.0,Male
1528624,shocked,1/14/2017 6:57:00 PM,50,0,0,0,0,Two-way separated by a central island,dry,Jordan,fourth class,asphalt,Night and insufficient lighting,Clear,flat straight,There is no,Capital Governorate Amman,mini ride on car,1/14/2017 6:57:00 PM,2,31.0,Male
1528624,shocked,1/14/2017 6:57:00 PM,50,0,0,0,0,Two-way separated by a central island,dry,Jordan,third class automatic,asphalt,Night and insufficient lighting,Clear,flat straight,Violations of traffic rules and priorities,Capital Governorate Amman,mini ride on car,1/14/2017 6:57:00 PM,2,23.0,Male
1528743,shocked,1/15/2017 6:46:00 AM,40,0,0,0,0,One-way,dry,Jordan,third class,asphalt,day,Clear,flat straight,Driving a vehicle without taking the necessary traffic safety precautions,Capital Governorate Amman,mini ride on car,1/15/2017 6:46:00 AM,2,34.0,Male
1528743,shocked,1/15/2017 6:46:00 AM,40,0,0,0,0,One-way,dry,Jordan,third class,asphalt,day,Clear,flat straight,There is no,Capital Governorate Amman,mini ride on car,1/15/2017 6:46:00 AM,2,40.0,feminine
1532075,shocked,1/18/2017 6:51:00 PM,40,0,0,0,0,One-way,dry,Jordan,third class,asphalt,Night and road with enough light,Clear,flat straight,There is no,Capital Governorate Amman,mini ride on car,1/18/2017 6:51:00 PM,2,39.0,Male
1532075,shocked,1/18/2017 6:51:00 PM,40,0,0,0,0,One-way,dry,Jordan,fourth class,asphalt,Night and road with enough light,Clear,flat straight,Violation of the no-traffic sign,Capital Governorate Amman,mini ride on car,1/18/2017 6:51:00 PM,2,49.0,Male
1533166,shocked,1/19/2017 8:10:00 AM,50,0,0,0,0,Two-way separated by a central island,dry,Jordan,third class,asphalt,day,Clear,flat straight,Driving a vehicle without taking the necessary traffic safety precautions,Capital Governorate Amman,mini ride on car,1/19/2017 8:10:00 AM,2,29.0,Male
1533166,shocked,1/19/2017 8:10:00 AM,50,0,0,0,0,Two-way separated by a central island,dry,Jordan,fourth class,asphalt,day,Clear,flat straight,There is no,Capital Governorate Amman,mini ride on car,1/19/2017 8:10:00 AM,2,24.0,Male
1535298,shocked,1/24/2017 10:41:00 PM,40,0,0,0,0,Two directions not separated by a central island,dry,Jordan,fourth class,asphalt,Night and road with enough light,Clear,flat straight,There is no,Capital Governorate Amman,mini ride on car,1/24/2017 10:41:00 PM,2,31.0,Male
1535298,shocked,1/24/2017 10:41:00 PM,40,0,0,0,0,Two directions not separated by a central island,dry,Jordan,0,asphalt,Night and road with enough light,Clear,flat straight,Violations of traffic rules and priorities,Capital Governorate Amman,mini ride on car,1/24/2017 10:41:00 PM,2,117.0,Male
1535299,shocked,1/24/2017 10:42:00 PM,40,0,0,0,0,Two directions not separated by a central island,dry,Jordan,third class automatic,asphalt,Night and road with enough light,Clear,flat straight,Driving a vehicle without taking the necessary traffic safety precautions,Capital Governorate Amman,mini ride on car,1/24/2017 10:42:00 PM,2,,Male
1535299,shocked,1/24/2017 10:42:00 PM,40,0,0,0,0,Two directions not separated by a central island,dry,Jordan,0,asphalt,Night and road with enough light,Clear,flat straight,There is no,Capital Governorate Amman,mini ride on car,1/24/2017 10:42:00 PM,2,,in
1535477,shocked,1/25/2017 1:59:00 PM,60,0,0,0,0,Two-way separated by a central island,dry,Jordan,third class,asphalt,day,Clear,flat straight,Violations of traffic rules and priorities,Capital Governorate Amman,Shipping,1/25/2017 1:59:00 PM,2,117.0,in
1535477,shocked,1/25/2017 1:59:00 PM,60,0,0,0,0,Two-way separated by a central island,dry,Jordan,third class automatic,asphalt,day,Clear,flat straight,There is no,Capital Governorate Amman,mini ride on car,1/25/2017 1:59:00 PM,2,,in
1536860,shocked,1/26/2017 3:59:00 PM,40,0,0,0,0,One-way,dry,Jordan,third class,asphalt,day,Clear,flat straight,Driving a vehicle without taking the necessary traffic safety precautions,Capital Governorate Amman,mini ride on car,1/26/2017 3:59:00 PM,2,50.0,feminine
1536860,shocked,1/26/2017 3:59:00 PM,40,0,0,0,0,One-way,dry,Jordan,third class,asphalt,day,Clear,flat straight,There is no,Capital Governorate Amman,mini ride on car,1/26/2017 3:59:00 PM,2,40.0,feminine
1537724,shocked,1/28/2017 7:02:00 PM,40,0,0,0,0,Two-way separated by a central island,Suffering,Jordan,third class,asphalt,Night and road with enough light,rain,flat straight,There is no,Capital Governorate Amman,Shipping,1/28/2017 7:02:00 PM,2,22.0,Male
1537724,shocked,1/28/2017 7:02:00 PM,40,0,0,0,0,Two-way separated by a central island,Suffering,Jordan,Fifth class,asphalt,Night and road with enough light,rain,flat straight,Non-compliance by the driver with obligatory signs or road signs,Capital Governorate Amman,mini ride on car,1/28/2017 7:02:00 PM,2,29.0,Male
1539497,shocked,1/30/2017 4:22:00 PM,40,0,0,0,0,One-way,dry,Jordan,third class,asphalt,day,Clear,flat straight,Wrong lane change,Capital Governorate Amman,mini ride on car,1/30/2017 4:22:00 PM,2,52.0,Male
1539497,shocked,1/30/2017 4:22:00 PM,40,0,0,0,0,One-way,dry,Jordan,fourth class,asphalt,day,Clear,flat straight,There is no,Capital Governorate Amman,Shipping,1/30/2017 4:22:00 PM,2,29.0,Male
1540895,shocked,3/2/2017 0:40,60,0,0,0,0,Two-way separated by a central island,dry,Jordan,fourth class,asphalt,Night and road with enough light,Clear,flat straight,There is no,Capital Governorate Amman,mini ride on car,3/2/2017 0:40,2,42.0,Male
1540895,shocked,3/2/2017 0:40,60,0,0,0,0,Two-way separated by a central island,dry,Jordan,third class,asphalt,Night and road with enough light,Clear,flat straight,The driver should not leave the safe relay distance,Capital Governorate Amman,mini ride on car,3/2/2017 0:40,2,40.0,Male
1543523,shocked,5/2/2017 8:11,40,0,0,0,0,Two-way separated by a central island,dry,Jordan,third class,asphalt,day,Clear,flat straight,The driver took the wrong lane,Capital Governorate Amman,joint transfer,5/2/2017 8:11,2,46.0,Male
1543523,shocked,5/2/2017 8:11,40,0,0,0,0,Two-way separated by a central island,dry,Jordan,third class,asphalt,day,Clear,flat straight,There is no,Capital Governorate Amman,mini ride on car,5/2/2017 8:11,2,27.0,Male
1546717,shocked,10/2/2017 17:20,40,0,0,0,0,Two directions not separated by a central island,dry,Jordan,third class,asphalt,day,Clear,flat straight,There is no,Capital Governorate Amman,mini ride on car,10/2/2017 17:20,2,,in
1546717,shocked,10/2/2017 17:20,40,0,0,0,0,Two directions not separated by a central island,dry,Jordan,third class,asphalt,day,Clear,flat straight,Driving a vehicle without taking the necessary traffic safety precautions,Capital Governorate Amman,mini ride on car,10/2/2017 17:20,2,44.0,Male
1547354,shocked,12/2/2017 14:10,50,0,0,0,0,Two-way separated by a central island,dry,Jordan,third class,asphalt,day,Clear,flat straight,There is no,Capital Governorate Amman,mini ride on car,12/2/2017 14:10,2,,in
1547354,shocked,12/2/2017 14:10,50,0,0,0,0,Two-way separated by a central island,dry,Jordan,third class,asphalt,day,Clear,flat straight,Driving a vehicle without taking the necessary traffic safety precautions,Capital Governorate Amman,mini ride on car,12/2/2017 14:10,2,55.0,feminine
1547374,shocked,2/13/2017 11:00:00 AM,40,1,0,0,0,Two directions not separated by a central island,dry,Jordan,third class,asphalt,day,Clear,flat straight,Suddenly changed leak,Capital Governorate Amman,mini ride on car,2/13/2017 11:00:00 AM,3,35.0,Male
1547374,shocked,2/13/2017 11:00:00 AM,40,1,0,0,0,Two directions not separated by a central island,dry,Jordan,0,asphalt,day,Clear,flat straight,There is no,Capital Governorate Amman,mini ride on car,2/13/2017 11:00:00 AM,3,,in
1547374,shocked,2/13/2017 11:00:00 AM,40,1,0,0,0,Two directions not separated by a central island,dry,Jordan,0,asphalt,day,Clear,flat straight,There is no,Capital Governorate Amman,joint transfer,2/13/2017 11:00:00 AM,3,,in
1547376,shocked,12/2/2017 18:00,40,0,0,0,0,Two directions not separated by a central island,Suffering,Jordan,Fifth class,asphalt,Night and road with enough light,Clear,flat straight,There is no,Capital Governorate Amman,mini ride on car,12/2/2017 18:00,2,27.0,Male
1547376,shocked,12/2/2017 18:00,40,0,0,0,0,Two directions not separated by a central island,Suffering,Jordan,fourth class,asphalt,Night and road with enough light,Clear,flat straight,Violations of traffic rules and priorities,Capital Governorate Amman,mini ride on car,12/2/2017 18:00,2,37.0,Male
1547671,shocked,2/13/2017 9:59:00 AM,40,0,0,0,0,inside garage,Suffering,Jordan,Fifth class,asphalt,day,rain,flat straight,Driving a vehicle without taking the necessary traffic safety precautions,Capital Governorate Amman,medium ride,2/13/2017 9:59:00 AM,2,38.0,Male
1547671,shocked,2/13/2017 9:59:00 AM,40,0,0,0,0,inside garage,Suffering,Jordan,third class,asphalt,day,rain,flat straight,Driving a vehicle without taking the necessary traffic safety precautions,Capital Governorate Amman,mini ride on car,2/13/2017 9:59:00 AM,2,48.0,Male
1548436,shocked,2/15/2017 1:18:00 AM,60,0,0,0,0,Two-way separated by a central island,Suffering,Jordan,third class automatic,asphalt,Night and road with enough light,rain,flat straight,There is no,Capital Governorate Amman,mini ride on car,2/15/2017 1:18:00 AM,2,24.0,Male
1548436,shocked,2/15/2017 1:18:00 AM,60,0,0,0,0,Two-way separated by a central island,Suffering,Jordan,third class automatic,asphalt,Night and road with enough light,rain,flat straight,The driver's failure to comply with the mandatory signs,Capital Governorate Amman,mini ride on car,2/15/2017 1:18:00 AM,2,117.0,in
1549937,shocked,2/19/2017 10:38:00 AM,40,0,0,0,0,Two directions not separated by a central island,dry,Jordan,third class,asphalt,day,Clear,flat straight,Suddenly changed leak,Capital Governorate Amman,mini ride on car,2/19/2017 10:38:00 AM,2,63.0,Male
1549937,shocked,2/19/2017 10:38:00 AM,40,0,0,0,0,Two directions not separated by a central island,dry,Jordan,Sixth class (B),asphalt,day,Clear,flat straight,There is no,Capital Governorate Amman,bus,2/19/2017 10:38:00 AM,2,33.0,Male
1550455,shocked,2/20/2017 1:39:00 PM,40,0,0,0,0,Two directions not separated by a central island,dry,Jordan,third class,asphalt,day,Clear,flat straight,There is no,Capital Governorate Amman,mini ride on car,2/20/2017 1:39:00 PM,2,39.0,Male
1551366,shocked,2/22/2017 9:17:00 PM,40,0,0,0,0,One-way,dry,Jordan,third class,asphalt,Night and road with enough light,Clear,flat straight,The driver's failure to comply with the mandatory signs,Capital Governorate Amman,mini ride on car,2/22/2017 9:17:00 PM,2,51.0,Male
1551366,shocked,2/22/2017 9:17:00 PM,40,0,0,0,0,One-way,dry,Jordan,third class,asphalt,Night and road with enough light,Clear,flat straight,There is no,Capital Governorate Amman,mini ride on car,2/22/2017 9:17:00 PM,2,32.0,Male
1551738,shocked,2/23/2017 7:17:00 PM,40,0,0,0,0,Two directions not separated by a central island,dry,Jordan,third class,asphalt,Night and road with enough light,Clear,flat straight,Violations of traffic rules and priorities,Capital Governorate Amman,mini ride on car,2/23/2017 7:17:00 PM,2,69.0,feminine
1551738,shocked,2/23/2017 7:17:00 PM,40,0,0,0,0,Two directions not separated by a central island,dry,Jordan,0,asphalt,Night and road with enough light,Clear,flat straight,There is no,Capital Governorate Amman,mini ride on car,2/23/2017 7:17:00 PM,2,117.0,in
1551823,shocked,2/24/2017 12:31:00 AM,40,0,0,0,0,Two-way separated by a central island,dry,Jordan,third class,asphalt,day,Clear,flat straight,The driver of the leaking vehicle suddenly changed,Capital Governorate Amman,mini ride on car,2/24/2017 12:31:00 AM,2,25.0,Male
1551823,shocked,2/24/2017 12:31:00 AM,40,0,0,0,0,Two-way separated by a central island,dry,Jordan,0,asphalt,day,Clear,flat straight,There is no,Capital Governorate Amman,mini ride on car,2/24/2017 12:31:00 AM,2,,in
1554991,shocked,4/3/2017 9:27,40,0,0,0,0,Two-way separated by a central island,Suffering,Jordan,fourth class,asphalt,Night and road with enough light,rain,flat straight,There is no,Capital Governorate Amman,mini ride on car,4/3/2017 9:27,4,52.0,Male
1554991,shocked,4/3/2017 9:27,40,0,0,0,0,Two-way separated by a central island,Suffering,Jordan,third class,asphalt,Night and road with enough light,rain,flat straight,There is no,Capital Governorate Amman,mini ride on car,4/3/2017 9:27,4,31.0,feminine
1554991,shocked,4/3/2017 9:27,40,0,0,0,0,Two-way separated by a central island,Suffering,Jordan,third class,asphalt,Night and road with enough light,rain,flat straight,The driver should not leave the safe relay distance,Capital Governorate Amman,mini ride on car,4/3/2017 9:27,4,64.0,Male
1554991,shocked,4/3/2017 9:27,40,0,0,0,0,Two-way separated by a central island,Suffering,Jordan,third class,asphalt,Night and road with enough light,rain,flat straight,There is no,Capital Governorate Amman,mini ride on car,4/3/2017 9:27,4,27.0,Male
1555002,shocked,1/3/2017 17:41,40,0,0,0,0,Two directions not separated by a central island,dry,Jordan,third class,asphalt,Night and road with enough light,Clear,flat straight,Driving a vehicle without taking the necessary traffic safety precautions,Capital Governorate Amman,mini ride on car,1/3/2017 17:41,2,34.0,Male
1555002,shocked,1/3/2017 17:41,40,0,0,0,0,Two directions not separated by a central island,dry,Jordan,third class,asphalt,Night and road with enough light,Clear,flat straight,There is no,Capital Governorate Amman,mini ride on car,1/3/2017 17:41,2,54.0,feminine
1555220,shocked,2/3/2017 11:41,40,0,0,0,0,Two directions not separated by a central island,dry,Jordan,third class,asphalt,day,Clear,flat straight,There is no,Capital Governorate Amman,mini ride on car,2/3/2017 11:41,2,44.0,feminine
1555220,shocked,2/3/2017 11:41,40,0,0,0,0,Two directions not separated by a central island,dry,Jordan,third class automatic,asphalt,day,Clear,flat straight,Reversing the vehicle that leads to an accident,Capital Governorate Amman,mini ride on car,2/3/2017 11:41,2,56.0,feminine
1555891,shocked,4/3/2017 14:15,50,0,0,0,0,Two-way separated by a central island,dry,Jordan,third class,asphalt,day,Clear,flat straight,There is no,Capital Governorate Amman,mini ride on car,4/3/2017 14:15,2,64.0,feminine
1555891,shocked,4/3/2017 14:15,50,0,0,0,0,Two-way separated by a central island,dry,Jordan,third class,asphalt,day,Clear,flat straight,Driving a vehicle without taking the necessary traffic safety precautions,Capital Governorate Amman,mini ride on car,4/3/2017 14:15,2,52.0,Male
1555942,shocked,4/3/2017 15:46,50,0,0,0,0,Two-way separated by a central island,dry,Jordan,third class,asphalt,day,Clear,flat straight,Driving a vehicle without taking the necessary traffic safety precautions,Capital Governorate Amman,mini ride on car,4/3/2017 15:46,2,28.0,Male
1555942,shocked,4/3/2017 15:46,50,0,0,0,0,Two-way separated by a central island,dry,Jordan,third class,asphalt,day,Clear,flat straight,There is no,Capital Governorate Amman,mini ride on car,4/3/2017 15:46,2,27.0,feminine
1556671,shocked,6/3/2017 14:30,40,0,0,0,0,Two directions not separated by a central island,dry,Jordan,third class,asphalt,day,Clear,flat straight,Opening the vehicle door from the sides or the back while the vehicle is in motion,Capital Governorate Amman,mini ride on car,6/3/2017 14:30,2,36.0,Male
1556671,shocked,6/3/2017 14:30,40,0,0,0,0,Two directions not separated by a central island,dry,Jordan,fourth class,asphalt,day,Clear,flat straight,There is no,Capital Governorate Amman,mini ride on car,6/3/2017 14:30,2,33.0,Male
1556745,shocked,6/3/2017 15:39,40,0,0,0,0,Two directions not separated by a central island,dry,Jordan,third class,asphalt,day,Clear,flat straight,The driver should not leave the safe relay distance,Capital Governorate Amman,mini ride on car,6/3/2017 15:39,2,20.0,Male
1556745,shocked,6/3/2017 15:39,40,0,0,0,0,Two directions not separated by a central island,dry,Jordan,third class,asphalt,day,Clear,flat straight,There is no,Capital Governorate Amman,mini ride on car,6/3/2017 15:39,2,37.0,Male
1557279,shocked,10/3/2017 9:53,40,0,0,0,0,Two-way separated by a central island,dry,Jordan,third class,asphalt,Night and road with enough light,Clear,flat straight,The driver of the leaking vehicle suddenly changed,Capital Governorate Amman,mini ride on car,10/3/2017 9:53,1,37.0,Male
1564675,shocked,3/20/2017 2:01:00 PM,50,0,0,0,0,Two-way separated by a central island,dry,Jordan,third class,asphalt,day,Clear,flat straight,Driving a vehicle without taking the necessary traffic safety precautions,Capital Governorate Amman,mini ride on car,3/20/2017 2:01:00 PM,2,44.0,feminine
1564675,shocked,3/20/2017 2:01:00 PM,50,0,0,0,0,Two-way separated by a central island,dry,Jordan,Fifth class,asphalt,day,Clear,flat straight,There is no,Capital Governorate Amman,mini ride on car,3/20/2017 2:01:00 PM,2,33.0,Male
1564681,shocked,3/20/2017 2:23:00 PM,50,0,0,0,0,Two directions not separated by a central island,dry,Jordan,third class,asphalt,day,Clear,flat straight,Driving a vehicle without taking the necessary traffic safety precautions,Capital Governorate Amman,mini ride on car,3/20/2017 2:23:00 PM,1,49.0,Male
1564695,shocked,3/20/2017 2:42:00 PM,40,0,0,0,0,Two-way separated by a central island,dry,Jordan,third class,asphalt,day,Clear,flat straight,Driving a vehicle without taking the necessary traffic safety precautions,Capital Governorate Amman,Shipping,3/20/2017 2:42:00 PM,2,22.0,Male
1564695,shocked,3/20/2017 2:42:00 PM,40,0,0,0,0,Two-way separated by a central island,dry,Jordan,third class,asphalt,day,Clear,flat straight,There is no,Capital Governorate Amman,mini ride on car,3/20/2017 2:42:00 PM,2,52.0,Male
1565573,shocked,3/22/2017 9:24:00 PM,40,0,0,0,0,Two-way separated by a central island,dry,Jordan,Fifth class,asphalt,Night and road with enough light,Clear,flat straight,There is no,Capital Governorate Amman,mini ride on car,3/22/2017 9:24:00 PM,2,25.0,Male
1565573,shocked,3/22/2017 9:24:00 PM,40,0,0,0,0,Two-way separated by a central island,dry,Jordan,third class,asphalt,Night and road with enough light,Clear,flat straight,Wrong lane change,Capital Governorate Amman,mini ride on car,3/22/2017 9:24:00 PM,2,59.0,Male
1565991,shocked,3/23/2017 8:02:00 PM,40,0,0,0,0,One-way,dry,Jordan,third class,asphalt,day,Clear,flat straight,The driver should not leave the safe relay distance,Capital Governorate Amman,mini ride on car,3/23/2017 8:02:00 PM,2,117.0,in
1565991,shocked,3/23/2017 8:02:00 PM,40,0,0,0,0,One-way,dry,Jordan,third class,asphalt,day,Clear,flat straight,There is no,Capital Governorate Amman,mini ride on car,3/23/2017 8:02:00 PM,2,28.0,Male
1566204,shocked,3/24/2017 8:00:00 PM,40,0,0,0,0,Two-way separated by a central island,dry,Jordan,third class,asphalt,Night and road with enough light,Clear,flat straight,There is no,Capital Governorate Amman,mini ride on car,3/24/2017 8:00:00 PM,2,35.0,Male
1566204,shocked,3/24/2017 8:00:00 PM,40,0,0,0,0,Two-way separated by a central island,dry,Jordan,fourth class,asphalt,Night and road with enough light,Clear,flat straight,Non-compliance by the driver with obligatory signs or road signs,Capital Governorate Amman,mini ride on car,3/24/2017 8:00:00 PM,2,46.0,Male
1568053,shocked,3/29/2017 2:01:00 PM,50,0,0,0,0,Two-way separated by a central island,dry,Jordan,third class,asphalt,day,Clear,flat straight,The driver should not leave the safe relay distance,Capital Governorate Amman,mini ride on car,3/29/2017 2:01:00 PM,2,74.0,feminine
1568053,shocked,3/29/2017 2:01:00 PM,50,0,0,0,0,Two-way separated by a central island,dry,Syria,third class automatic,asphalt,day,Clear,flat straight,There is no,Capital Governorate Amman,mini ride on car,3/29/2017 2:01:00 PM,2,,Male
1568074,shocked,1/4/2017 14:43,60,0,0,0,0,Two-way separated by a central island,dry,Jordan,third class automatic,asphalt,day,Clear,flat straight,Driving a vehicle without taking the necessary traffic safety precautions,Capital Governorate Amman,mini ride on car,1/4/2017 14:43,1,22.0,feminine
1568107,shocked,3/29/2017 3:55:00 PM,60,0,0,0,0,Two-way separated by a central island,dry,Jordan,third class automatic,asphalt,day,Clear,flat straight,Violations of traffic rules and priorities,Capital Governorate Amman,mini ride on car,3/29/2017 3:55:00 PM,2,21.0,feminine
1568107,shocked,3/29/2017 3:55:00 PM,60,0,0,0,0,Two-way separated by a central island,dry,Jordan,fourth class,asphalt,day,Clear,flat straight,The driver took the wrong lane,Capital Governorate Amman,mini ride on car,3/29/2017 3:55:00 PM,2,22.0,Male
1568163,shocked,3/29/2017 5:26:00 PM,40,0,0,0,0,Two directions not separated by a central island,dry,Jordan,third class,asphalt,day,Clear,flat straight,Violations of traffic rules and priorities,Capital Governorate Amman,joint transfer,3/29/2017 5:26:00 PM,2,27.0,Male
1568163,shocked,3/29/2017 5:26:00 PM,40,0,0,0,0,Two directions not separated by a central island,dry,Jordan,fourth class,asphalt,day,Clear,flat straight,"Failure of the driver to reduce the speed of his vehicle when passing through populated areas or when approaching schools, pedestrian paths, turns or intersections",Capital Governorate Amman,mini ride on car,3/29/2017 5:26:00 PM,2,31.0,Male
1568283,shocked,3/29/2017 10:27:00 PM,40,0,0,0,0,Two-way separated by a central island,dry,Saudi,fourth class,asphalt,Night and road with enough light,Clear,flat straight,There is no,Capital Governorate Amman,mini ride on car,3/29/2017 10:27:00 PM,2,23.0,Male
1568283,shocked,3/29/2017 10:27:00 PM,40,0,0,0,0,Two-way separated by a central island,dry,Jordan,third class,asphalt,Night and road with enough light,Clear,flat straight,Driving a vehicle without taking the necessary traffic safety precautions,Capital Governorate Amman,mini ride on car,3/29/2017 10:27:00 PM,2,24.0,Male
1568329,shocked,3/30/2017 7:48:00 AM,40,0,0,0,0,Two-way separated by a central island,dry,Jordan,fourth class,asphalt,day,Clear,flat straight,Violation of the no-traffic sign,Capital Governorate Amman,mini ride on car,3/30/2017 7:48:00 AM,2,26.0,Male
1568329,shocked,3/30/2017 7:48:00 AM,40,0,0,0,0,Two-way separated by a central island,dry,Jordan,third class,asphalt,day,Clear,flat straight,There is no,Capital Governorate Amman,mini ride on car,3/30/2017 7:48:00 AM,2,45.0,feminine
